"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Stefan Jovic","Valencia",27,458,133,43,66,65.15,10,33,30.3,17,28,60.71,9,43,77,31,25,1,45,110,26,32,15,28,2,6,4,8,6,25,0,0
"Stefan Lazarevic","Crvena Zvezda",17,131,22,7,12,58.33,2,5,40,2,2,100,4,13,3,4,3,0,26,2,0,1,5,8,2,3,0,0,2,5,0,0
"Stefano Tonut","Olimpia Milan",29,495,167,33,62,53.23,30,61,49.18,11,17,64.71,8,44,34,17,18,1,40,-60,20,27,7,19,6,16,7,12,23,49,0,0
"Sterling Brown","ALBA",29,699,326,59,129,45.74,56,157,35.67,40,43,93.02,21,74,70,56,22,5,60,-174,31,49,24,61,4,19,12,22,44,134,0,0
"Sylvain Francisco","Bayern",33,639,350,53,123,43.09,58,164,35.37,70,86,81.4,13,44,105,42,22,0,49,-84,11,19,35,75,7,29,1,4,57,158,0,2
"Tadas Sedekerskis","Baskonia",30,819,268,84,124,67.74,16,39,41.03,52,64,81.25,50,154,41,32,17,11,44,-90,42,49,37,64,5,11,1,4,15,34,0,1
"Tamir Blatt","Maccabi Tel Aviv",32,586,218,18,32,56.25,55,140,39.29,17,19,89.47,5,39,149,57,14,0,49,23,0,0,2,8,16,24,2,5,52,134,1,1
"Tarik Biberovic","Fenerbahce",25,398,180,27,48,56.25,37,65,56.92,15,17,88.24,12,37,18,17,6,0,54,66,7,9,11,22,9,17,9,14,28,51,0,0
"Terry Tarpey","Monaco",6,60,7,1,6,16.67,1,2,50,2,2,100,2,5,5,3,3,1,13,6,1,3,0,2,0,1,0,1,1,1,0,0
"Thomas Walkup","Olympiacos",33,886,287,55,113,48.67,46,142,32.39,39,49,79.59,19,82,160,61,49,2,84,138,19,30,27,63,9,20,11,24,35,118,0,0
"Tibor Pleiss","Efes",22,388,176,45,86,52.33,26,60,43.33,8,9,88.89,26,53,16,15,8,11,33,-3,19,28,13,29,13,29,5,7,21,53,0,0
"Tim Schneider","ALBA",33,530,142,37,60,61.67,20,81,24.69,8,15,53.33,27,44,20,18,9,1,55,-253,15,21,17,30,5,9,3,10,17,71,0,0
"Timothe Luwawu Cabarrot","ASVEL",28,787,364,93,181,51.38,35,93,37.63,73,88,82.95,13,81,64,65,31,2,86,-176,34,48,36,73,23,60,11,22,24,71,0,0
"Tomas Dimsa","Zalgiris",33,588,210,42,91,46.15,37,97,38.14,15,22,68.18,16,34,57,33,14,4,68,24,22,33,20,53,0,5,8,14,29,82,0,1
"Tomas Satoransky","Barcelona",34,858,245,53,100,53,33,95,34.74,40,57,70.18,20,130,139,47,31,5,73,119,19,22,31,73,3,5,7,15,26,79,0,1
