ROUND;TM TAG;OPP TAG;TM NAME;OPP NAME;DATE;H/A;W/L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);KILLS;PSF FREQ;DSF FREQ;ASTED_2FG;ASTED_3FG;ASTED_FT;ASTED_FT PTS;LTO;DTO;BLK2;BLK3;OR_RIM;TM OR_RIM;OR_PAINT;TM OR_PAINT;OR_NP2;TM OR_NP2;OR_3C;TM OR_3C;OR_3L;TM OR_3L;OR_FT;TM OR_FT;DR_RIM;TM DR_RIM;DR_PAINT;TM DR_PAINT;DR_NP2;TM DR_NP2;DR_3C;TM DR_3C;DR_3L;TM DR_3L;DR_FT;TM DR_FT;FTM_T;FTA_T;FTM_1;FTA_1;FTM_2;FTA_2;FT 0/2;FTM_3;FTA_3;FT 0/3;RIM_M;RIM_A;PAINT_M;PAINT_A;MID_M;MID_A;3C_M;3C_A;3L_M;3L_A;3H_M;3H_A
5;BAY;FEN;FC Bayern Munich;Fenerbahce Beko Istanbul;27.10.2023;H;L;200;67;20;41;0,49;6;29;0,21;26;70;0,37;9;12;0,75;13;26;39;12;9;5;4;4;22;21;66;-9;71;84;0,8;0,86;94,4;108,6;-14,2;0,41;0,45;0,08;1,14;0,24;1;0,17;0,86;0,05;0,75;0,3;0,6;0,06;0,11;0,06;0,05;0,39;0,5;0,33;0;0,14;1,33;0,3;0,38;0,23;0;0,6;0,57;0,61;1;0,45;0,07;0,06;0,09;0;4;0;0;10;2;0;0;5;4;4;0;1;0;4;0;1;2;0;0;5;0;0;0;0;0;9;1;3;0;2;0;9;0;2;0;0;0;1;2;8;10;0;0;0;0;4;7;10;20;6;14;1;4;5;25;0;0
5;FEN;BAY;Fenerbahce Beko Istanbul;FC Bayern Munich;27.10.2023;A;W;200;76;20;44;0,45;7;27;0,26;27;71;0,38;15;18;0,83;17;31;48;10;11;5;4;4;21;21;81;9;70;88;0,86;0,8;108,6;94,4;14,2;0,43;0,49;0,1;1,56;0,31;0,67;0,09;1;0,05;0,75;0,25;0,82;0,07;0,13;0,06;0,07;0,3;0,3;0,43;0,17;0,11;0,91;0,4;0,43;0,39;0;0,7;0,62;0,77;1;0,55;0,07;0,06;0,07;0,03;6;0;0;6;3;1;0;5;6;3;1;1;1;7;0;1;0;1;0;6;0;0;0;2;0;6;0;3;2;2;1;13;1;1;0;0;1;3;4;9;10;0;3;3;0;7;9;9;27;4;8;1;4;6;22;0;1
5;CZB;PAR;Partizan Mozzart Bet Belgrade;Crvena Zvezda Meridianbet Belgrade;26.10.2023;A;L;200;88;25;42;0,6;9;20;0,45;34;62;0,55;11;16;0,69;9;23;32;17;14;8;2;4;18;21;99;2;74;83;1,06;1,05;118,9;116,2;2,7;0,62;0,64;0,2;1,76;0,18;0,8;0,12;0,8;0,04;2;0,2;1,24;0,08;0,17;0,11;0,06;0,41;0,44;0,56;0,14;0,2;1,21;0,31;0,31;0,36;0;0,74;0,89;0,67;0,75;0,53;0,11;0,04;0,04;0,03;5;0,61;0,43;11;5;1;2;9;5;1;1;0;1;3;1;0;0;0;1;2;1;0;0;2;0;3;0;3;0;0;1;9;2;2;1;0;0;1;2;10;14;0;0;0;0;15;17;6;15;4;10;2;3;7;17;0;0
5;PAR;CZB;Crvena Zvezda Meridianbet Belgrade;Partizan Mozzart Bet Belgrade;26.10.2023;H;W;200;86;16;25;0,64;13;31;0,42;29;56;0,52;15;23;0,65;8;20;28;22;15;9;4;2;21;18;94;-2;74;82;1,05;1,06;116,2;118,9;-2,7;0,63;0,64;0,12;1,6;0,12;1,2;0,06;0,8;0,07;2;0,3;1,08;0,13;0,18;0,1;0,09;0,56;0,56;0,69;0,4;0,27;1,47;0,26;0,11;0,33;0,25;0,69;0,69;0,64;1;0,47;0,12;0,06;0,07;0,05;3;0,43;0,61;9;9;4;5;8;7;3;1;0;0;1;0;0;0;0;1;5;0;1;0;0;0;5;0;6;0;0;0;6;1;2;0;0;0;0;0;14;20;1;1;3;0;8;10;6;10;2;5;4;6;9;25;0;0
5;BER;MIL;EA7 Emporio Armani Milan;ALBA Berlin;26.10.2023;H;W;200;82;18;33;0,55;12;29;0,41;30;62;0,48;10;15;0,67;11;20;31;17;12;4;1;3;20;17;80;-3;69;80;1,03;1,09;118,8;126,9;-8;0,58;0,6;0,1;1,5;0,2;1,25;0,11;0,44;0,06;1,8;0,3;1,13;0,08;0,15;0,09;0,06;0,5;0,22;0,92;0,5;0,21;1,42;0,32;0,33;0,4;0;0,65;0,75;0,56;1;0,48;0,06;0,02;0,04;0;3;0,55;0,47;4;11;2;4;7;5;1;0;2;0;3;0;0;0;1;0;4;1;0;0;0;0;3;1;5;0;2;0;8;0;1;0;0;0;1;2;6;10;2;3;3;0;6;8;10;16;2;9;3;5;9;24;0;0
5;MIL;BER;ALBA Berlin;EA7 Emporio Armani Milan;26.10.2023;A;L;200;85;15;27;0,56;12;30;0,4;27;57;0,47;19;21;0,9;11;23;34;18;11;7;3;1;17;20;106;3;67;78;1,09;1,03;126,9;118,8;8;0,58;0,63;0,12;1,78;0,12;1,11;0,12;0,44;0,06;1,8;0,32;1,08;0,13;0,14;0,05;0,09;0,49;0,47;0,83;0,1;0,23;1,64;0,35;0,25;0,44;0;0,68;0,67;0,6;1;0,52;0,1;0,05;0,09;0;5;0,47;0,55;7;10;1;2;4;7;3;0;1;0;0;0;2;0;0;0;7;1;0;0;0;0;3;0;6;1;1;0;7;1;3;0;0;0;1;1;18;20;0;0;0;0;8;9;5;9;2;9;3;5;9;25;0;0
5;FCB;RMB;Real Madrid;FC Barcelona;26.10.2023;A;L;200;65;22;44;0,5;2;22;0,09;24;66;0,36;15;24;0,63;19;29;48;17;15;5;1;2;25;21;64;1;72;91;0,71;0,75;90,3;90,1;0,1;0,38;0,43;0,14;1,85;0,31;0,64;0,03;0,67;0;-;0,24;0,27;0,11;0,16;0,09;0,08;0,52;0,59;1;0,22;0,19;1,13;0,4;0,55;0,3;0,17;0,67;0,68;0,67;0,67;0,53;0,07;0,02;0,02;0;8;0,32;0,52;13;2;2;2;8;7;1;0;0;1;8;2;0;1;0;0;6;0;1;0;2;0;14;1;0;0;0;0;9;1;2;0;1;1;1;1;11;18;1;2;3;0;12;13;9;28;1;3;0;0;2;22;0;0
5;RMB;FCB;FC Barcelona;Real Madrid;26.10.2023;H;W;200;64;20;45;0,44;5;20;0,25;25;65;0,38;9;16;0,56;14;29;43;12;14;8;2;1;22;24;69;-1;71;85;0,75;0,71;90,1;90,3;-0,1;0,42;0,45;0,08;1,43;0,4;0,82;0,05;0,5;0;-;0,24;0,75;0,07;0,16;0,06;0,11;0,4;0,4;0,8;0;0,14;0,86;0,33;0,32;0,33;0,33;0,6;0,45;0,7;0,83;0,47;0,11;0,03;0,05;0;7;0,5;0,33;8;4;0;0;5;9;2;0;0;0;5;0;3;0;0;0;4;1;1;0;0;0;9;0;1;0;0;0;13;1;4;1;0;0;2;2;6;10;1;1;3;0;5;7;14;34;1;4;0;0;5;20;0;0
5;ASM;MTA;Maccabi Playtika Tel Aviv;AS Monaco;26.10.2023;H;W;200;79;22;43;0,51;7;26;0,27;29;69;0,42;14;19;0,74;22;13;35;18;13;4;1;1;19;19;78;-28;68;90;0,88;1,26;116,2;152,9;-36,7;0,47;0,51;0;-;0,33;1,27;0,14;0,46;0;-;0,29;0,81;0,09;0,14;0,09;0,06;0,49;0,55;0,71;0,13;0,2;1,38;0,51;0,43;0,63;0,33;0,48;0,53;0,33;1;0,5;0,06;0,01;0,02;0;1;0,37;0,58;12;5;1;0;8;5;1;0;0;0;3;1;4;1;0;0;9;3;1;0;0;0;2;0;6;1;0;0;3;0;1;0;0;0;2;3;12;16;0;0;0;0;0;0;19;30;3;13;0;0;7;26;0;0
5;MTA;ASM;AS Monaco;Maccabi Playtika Tel Aviv;26.10.2023;A;L;200;107;31;49;0,63;12;22;0,55;43;71;0,61;9;13;0,69;14;21;35;23;9;8;1;1;19;19;132;28;70;85;1,26;0,88;152,9;116,2;36,7;0,69;0,7;0,09;1,75;0,28;1,5;0,2;0,71;0;-;0,26;1,64;0,06;0,11;0,05;0,06;0,48;0,45;0,75;0;0,27;2,56;0,52;0,47;0,67;0;0,49;0,57;0,37;0,67;0,5;0,12;0,01;0,02;0;4;0,58;0,37;14;9;0;0;4;5;1;0;1;0;4;0;2;1;0;0;4;2;0;0;0;0;6;1;4;1;0;0;6;1;2;0;0;1;2;2;7;10;0;0;0;0;7;8;18;24;6;17;0;0;12;22;0;0
5;EFE;OLY;Olympiacos Piraeus;Anadolu Efes Istanbul;26.10.2023;A;L;200;75;22;34;0,65;8;26;0,31;30;60;0,5;7;10;0,7;9;30;39;21;10;7;1;3;15;17;99;18;66;75;1;0,75;113,6;89,1;24,6;0,57;0,58;0,23;1,76;0,2;0,93;0,03;0;0,09;0,86;0,25;0,95;0,07;0,13;0,07;0,07;0,6;0,55;0,88;0,4;0,28;2,1;0,28;0,17;0,41;0;0,71;0,67;0,74;1;0,53;0,11;0,02;0,03;0;7;0,13;0,29;12;7;2;2;5;5;1;0;0;0;1;0;1;0;3;0;3;1;0;0;1;0;6;1;4;0;4;0;12;1;1;0;0;0;0;0;7;10;0;0;0;0;15;17;7;15;0;2;2;7;6;19;0;0
5;OLY;EFE;Anadolu Efes Istanbul;Olympiacos Piraeus;26.10.2023;H;W;200;57;15;33;0,45;8;31;0,26;23;64;0,36;3;4;0,75;12;23;35;14;10;5;3;1;17;15;59;-18;64;76;0,75;1;89,1;113,6;-24,6;0,42;0,43;0,09;1,71;0,21;0,75;0,13;0,6;0,09;0,86;0,32;0,75;0,03;0,13;0,09;0,04;0,56;0,47;0,88;0;0,18;1,4;0,29;0,33;0,26;0;0,72;0,83;0,59;1;0,47;0,08;0,05;0,09;0;3;0,29;0,13;7;7;0;0;7;3;3;0;0;0;3;0;3;0;1;0;5;0;0;0;2;0;7;0;1;0;1;1;8;0;3;0;0;0;0;0;3;4;0;0;0;0;6;7;6;16;3;10;2;7;6;24;0;0
5;VAL;ZAL;Zalgiris Kaunas;Valencia Basket;27.10.2023;A;W;200;72;20;31;0,65;7;28;0,25;27;59;0,46;11;13;0,85;6;21;27;15;14;7;1;2;17;19;74;-15;72;78;0,92;1,1;100;117,6;-17,6;0,52;0,56;0,13;1,8;0,19;1,2;0,08;0,67;0,01;0;0,35;0,78;0,06;0,18;0,06;0,12;0,47;0,45;0,57;0,4;0,19;1,07;0,18;0;0,24;1;0,84;0,87;0,8;-;0,47;0,09;0,02;0,02;0;4;0,47;0,42;9;4;2;4;5;9;1;0;0;0;0;0;0;0;0;0;3;2;0;1;1;0;5;1;6;0;2;1;4;1;0;0;0;0;2;3;9;10;0;0;0;0;9;10;9;15;2;6;0;1;7;27;0;0
5;ZAL;VAL;Valencia Basket;Zalgiris Kaunas;27.10.2023;H;L;200;87;24;41;0,59;8;19;0,42;32;60;0,53;15;16;0,94;4;27;31;15;13;5;2;1;19;16;94;15;74;79;1,1;0,92;117,6;100;17,6;0,6;0,66;0,15;1,83;0,16;0,92;0,2;0,88;0,06;1,2;0,18;1,29;0,08;0,17;0,09;0,08;0,39;0,29;0,5;0,67;0,19;1,15;0,16;0,13;0,2;-;0,82;1;0,76;0;0,53;0,07;0,03;0,06;0;5;0,42;0,5;7;4;4;9;7;6;2;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;6;0;3;1;1;0;15;0;0;0;1;1;2;2;9;10;0;3;3;0;11;12;6;13;7;16;2;5;6;14;0;0
5;ASV;VIR;Virtus Segafredo Bologna;LDLC ASVEL Villeurbanne;27.10.2023;H;L;200;87;22;36;0,61;11;24;0,46;33;60;0,55;10;10;1;7;20;27;22;14;8;6;1;21;14;101;3;71;78;1,12;1,05;122,5;116,7;5,9;0,64;0,68;0,19;1,87;0,13;0,4;0,14;1,09;0,03;1,5;0,27;1,43;0,05;0,18;0,08;0,1;0,59;0,45;0,82;0,75;0,28;1,57;0,27;0,21;0,33;-;0,71;0,65;0,8;1;0,5;0,11;0,1;0,14;0;3;0,38;0,43;10;9;3;6;6;8;6;0;0;0;1;0;2;0;0;0;3;1;0;0;3;1;4;1;4;0;1;0;3;0;3;0;0;0;2;2;8;8;0;0;0;0;14;15;2;10;6;11;1;2;10;21;0;1
5;VIR;ASV;LDLC ASVEL Villeurbanne;Virtus Segafredo Bologna;27.10.2023;A;W;200;84;22;43;0,51;9;15;0,6;31;58;0,53;13;16;0,81;8;19;27;21;15;6;1;6;14;21;95;-3;72;80;1,05;1,12;116,7;122,5;-5,9;0,61;0,65;0,2;1,13;0,25;1,1;0,09;0,57;0,04;2;0,15;1,75;0,09;0,19;0,1;0,09;0,55;0,5;1;0,14;0,26;1,4;0,29;0,35;0,2;0;0,73;0,79;0,67;-;0,5;0,08;0,02;0,03;0;5;0,43;0,38;11;9;1;0;8;7;1;0;2;0;3;1;1;0;0;0;1;0;0;0;1;0;6;1;3;0;0;1;6;1;0;0;0;0;0;1;10;12;0;3;3;0;9;16;11;20;2;7;2;3;7;12;0;0
5;BAS;PAN;Panathinaikos AKTOR Athens;Baskonia Vitoria-Gasteiz;27.10.2023;A;L;200;95;25;43;0,58;9;26;0,35;34;69;0,49;18;21;0,86;15;27;42;15;13;5;4;2;18;21;111;14;74;89;1,07;0,95;128,4;108;20,4;0,56;0,63;0,22;1,5;0,19;0,94;0,07;0,67;0,02;0;0,26;1,17;0,08;0,15;0,08;0,07;0,37;0,32;0,67;0,14;0,17;1,15;0,41;0,39;0,5;0;0,73;0,72;0,71;1;0,57;0,07;0,06;0,09;0;3;0,28;0,62;8;6;1;2;7;6;4;0;4;0;2;0;1;0;1;0;7;0;0;0;3;1;6;1;0;2;4;0;7;1;1;0;1;1;3;6;14;14;0;0;0;0;15;20;8;17;2;6;0;2;9;23;0;1
5;PAN;BAS;Baskonia Vitoria-Gasteiz;Panathinaikos AKTOR Athens;27.10.2023;H;W;200;81;26;44;0,59;7;25;0,28;33;69;0,48;8;12;0,67;10;22;32;16;12;7;2;4;21;18;79;-14;75;85;0,95;1,07;108;128,4;-20,4;0,53;0,55;0,25;1,52;0,2;0,94;0,07;0,67;0,08;0,43;0,2;1,06;0,05;0,14;0,06;0,08;0,43;0,5;0,29;0,25;0,19;1,33;0,27;0,28;0,29;0;0,59;0,61;0,5;1;0,43;0,09;0,03;0,05;0;2;0,62;0,28;13;2;1;3;5;7;2;0;0;1;1;1;2;0;2;0;3;0;0;0;0;1;7;0;3;0;1;0;6;1;3;0;0;0;1;1;2;4;0;4;6;0;16;21;8;17;2;6;1;7;6;17;0;1
5;BAY;FEN;Fenerbahce Beko Istanbul;FC Bayern Munich;27.10.2023;H;L;200;76;20;44;0,45;7;27;0,26;27;71;0,38;15;18;0,83;17;31;48;10;11;5;4;4;21;21;81;9;70;88;0,86;0,8;108,6;94,4;14,2;0,43;0,49;0,1;1,56;0,31;0,67;0,09;1;0,05;0,75;0,25;0,82;0,07;0,13;0,06;0,07;0,3;0,3;0,43;0,17;0,11;0,91;0,4;0,43;0,39;0;0,7;0,62;0,77;1;0,55;0,07;0,06;0,07;0,03;6;0,33;0,48;6;3;1;0;5;6;3;1;1;1;7;0;1;0;1;0;6;0;0;0;2;0;6;0;3;2;2;1;13;1;1;0;0;1;3;4;9;10;0;3;3;0;7;9;9;27;4;8;1;4;6;22;0;1
5;FEN;BAY;FC Bayern Munich;Fenerbahce Beko Istanbul;27.10.2023;A;W;200;67;20;41;0,49;6;29;0,21;26;70;0,37;9;12;0,75;13;26;39;12;9;5;4;4;22;21;66;-9;71;84;0,8;0,86;94,4;108,6;-14,2;0,41;0,45;0,08;1,14;0,24;1;0,17;0,86;0,05;0,75;0,3;0,6;0,06;0,11;0,06;0,05;0,39;0,5;0,33;0;0,14;1,33;0,3;0,38;0,23;0;0,6;0,57;0,61;1;0,45;0,07;0,06;0,09;0;4;0,45;0,33;10;2;0;0;5;4;4;0;1;0;4;0;1;2;0;0;5;0;0;0;0;0;9;1;3;0;2;0;9;0;2;0;0;0;1;2;8;10;0;0;0;0;4;7;10;20;6;14;1;4;5;25;0;0
6;CZB;BAY;Crvena Zvezda Meridianbet Belgrade;FC Bayern Munich;02.11.2023;H;W;200;74;19;35;0,54;7;29;0,24;26;64;0,41;15;21;0,71;12;25;37;17;11;11;2;1;17;20;88;6;71;84;0,88;0,81;104,2;95,8;8,5;0,46;0,51;0,14;1;0,17;1,29;0,11;0,89;0,06;0;0,29;0,88;0,11;0,13;0,1;0,04;0,5;0,53;0,71;0,25;0,2;1,55;0,31;0,33;0,29;0,33;0,66;0,73;0,59;-;0,48;0,15;0,03;0;0;7;0;1;10;5;2;5;8;3;0;0;1;0;3;0;1;0;1;0;5;0;1;0;1;0;7;0;3;0;6;0;5;2;0;0;0;0;2;2;10;16;1;3;3;0;6;12;9;14;4;9;0;5;7;24;0;0
6;BAY;CZB;FC Bayern Munich;Crvena Zvezda Meridianbet Belgrade;02.11.2023;A;L;200;68;14;30;0,47;11;33;0,33;25;63;0,4;7;9;0,78;13;27;40;20;17;8;1;2;20;17;75;-6;71;84;0,81;0,88;95,8;104,2;-8,5;0,48;0,51;0,07;1,33;0,19;0,63;0,1;1,25;0,11;1;0,29;1;0,05;0,2;0,13;0,07;0,69;0,5;0,91;0,75;0,24;1,18;0,34;0,27;0,41;-;0,69;0,67;0,71;0,67;0,52;0,11;0,02;0;0;5;1;0;7;10;3;6;11;6;0;0;1;0;2;1;0;0;0;0;9;0;0;0;3;1;2;0;4;0;2;2;10;1;2;0;0;0;1;1;6;8;0;0;0;0;4;6;5;16;5;8;3;9;8;24;0;0
6;FEN;OLY;Fenerbahce Beko Istanbul;Olympiacos Piraeus;02.11.2023;H;W;200;79;23;33;0,7;7;24;0,29;30;57;0,53;12;14;0,86;6;19;25;22;9;6;3;2;22;19;92;2;65;71;1,11;1,04;121,5;114,9;6,6;0,59;0,64;0,2;1,86;0,21;1,2;0,06;0,5;0,1;0,86;0,24;0,88;0,07;0,13;0,03;0,1;0,63;0,65;1;0;0,31;2,44;0,21;0,2;0,24;0;0,73;0,64;0,9;1;0,46;0,09;0,06;0,06;0,05;4;1;0;15;7;0;0;2;7;2;1;0;0;1;0;1;0;1;0;3;0;0;0;0;0;7;0;0;0;1;0;8;0;3;0;0;0;2;2;4;6;0;6;6;0;13;14;9;15;1;4;2;7;5;17;0;0
6;OLY;FEN;Olympiacos Piraeus;Fenerbahce Beko Istanbul;02.11.2023;A;L;200;77;21;35;0,6;7;19;0,37;28;54;0,52;14;20;0,7;7;22;29;22;11;2;2;3;19;22;89;-2;67;74;1,04;1,11;114,9;121,5;-6,6;0,58;0,61;0,18;2;0,26;0,74;0,04;0,67;0,04;2;0,22;0,94;0,12;0,15;0,08;0,07;0,59;0,62;1;0,22;0,3;2;0,27;0,36;0,1;0;0,79;0,8;0,76;1;0,54;0,03;0,04;0,03;0;3;0;1;13;7;2;2;6;5;1;0;0;0;3;0;1;0;0;0;1;0;0;0;1;0;4;1;2;0;3;1;7;2;1;0;0;0;1;2;13;18;0;0;0;0;13;13;7;19;1;3;2;3;5;16;0;0
6;ASV;ZAL;LDLC ASVEL Villeurbanne;Zalgiris Kaunas;02.11.2023;A;W;200;91;27;37;0,73;7;20;0,35;34;57;0,6;16;18;0,89;7;19;26;24;9;7;1;2;18;22;117;3;67;74;1,23;1,11;135,8;131,3;4,5;0,66;0,7;0,28;1,62;0,12;1,33;0,09;1,14;0,05;0,75;0,22;1,13;0,11;0,12;0,05;0,07;0,57;0,63;0,86;0,13;0,32;2,67;0,29;0,2;0,38;0;0,61;0,46;0,71;1;0,47;0,1;0,02;0,03;0;3;0;0;17;6;1;2;4;5;1;0;1;1;0;0;0;0;1;1;2;1;0;0;0;0;2;0;4;0;2;0;10;0;1;0;0;0;1;1;12;14;0;3;3;0;17;21;6;9;4;7;1;4;6;16;0;0
6;ZAL;ASV;Zalgiris Kaunas;LDLC ASVEL Villeurbanne;02.11.2023;H;L;200;88;21;34;0,62;11;28;0,39;32;62;0,52;13;14;0,93;12;17;29;15;11;4;2;1;22;18;91;-3;67;79;1,11;1,23;131,3;135,8;-4,5;0,6;0,65;0,16;1,54;0,16;1,23;0,1;0,75;0,06;1,2;0,29;1,17;0,08;0,14;0,09;0,05;0,39;0,29;0,64;0,33;0,19;1,36;0,39;0,54;0,29;0;0,71;0,8;0,62;1;0,53;0,06;0,04;0,05;0;0;0;0;6;7;2;4;7;4;2;0;1;2;2;1;1;0;1;0;3;1;0;0;2;0;3;0;3;0;1;0;6;1;1;0;0;0;2;2;11;12;0;0;0;0;10;13;8;13;3;8;2;5;9;23;0;0
6;ASM;MIL;AS Monaco;EA7 Emporio Armani Milan;02.11.2023;A;W;200;72;20;40;0,5;7;17;0,41;27;57;0,47;11;15;0,73;9;24;33;11;12;7;2;0;22;21;78;6;67;76;0,95;0,88;107,5;100;7,5;0,54;0,56;0,18;1,43;0,13;1;0,21;0,63;0,01;0;0,21;1,31;0,09;0,16;0,09;0,07;0,33;0,35;0,57;0;0,14;0,92;0,28;0,3;0,2;0,5;0,73;0,79;0,63;1;0,51;0,11;0,04;0,08;0;7;0;0;7;4;0;0;7;5;2;0;0;1;1;0;2;2;1;0;1;0;0;1;2;0;6;0;3;0;1;0;9;0;3;0;0;0;1;1;10;14;1;0;0;0;10;14;5;10;5;16;0;1;7;16;0;0
6;MIL;ASM;EA7 Emporio Armani Milan;AS Monaco;02.11.2023;H;L;200;66;12;26;0,46;10;27;0,37;22;53;0,42;12;17;0,71;9;23;32;18;14;7;0;2;21;21;71;-6;66;75;0,88;0,95;100;107,5;-7,5;0,51;0,54;0,15;1,64;0,16;0,5;0,04;0;0,01;0;0,35;1,15;0,11;0,19;0,09;0,09;0,62;0,58;0,9;0,29;0,24;1,29;0,27;0,21;0,38;0;0,72;0,7;0,8;0,5;0,49;0,1;0;0;0;5;0;0;7;9;2;2;7;7;0;0;0;0;2;1;0;0;0;0;5;1;0;0;3;0;4;0;7;0;0;0;7;1;1;0;1;1;0;0;11;16;1;0;0;0;9;11;3;12;0;3;0;1;10;26;0;0
6;BER;VAL;ALBA Berlin;Valencia Basket;02.11.2023;A;L;200;71;13;28;0,46;9;28;0,32;22;56;0,39;18;20;0,9;10;23;33;13;17;9;5;3;17;20;78;-8;72;82;0,87;0,9;98,6;103,9;-5,3;0,47;0,55;0,15;1,33;0,12;0,6;0,07;0,67;0,07;1;0,24;1,05;0,11;0,21;0,11;0,1;0,42;0,38;0,67;0,22;0,16;0,76;0,29;0,44;0,18;0;0,66;0,68;0,64;1;0,48;0,12;0,08;0,12;0;5;0;0;5;6;2;4;9;8;5;0;2;0;3;0;2;0;1;0;1;1;0;0;3;0;5;1;3;1;4;1;4;0;1;0;0;0;0;0;14;14;0;4;6;0;8;12;3;10;2;6;2;6;7;20;0;0
6;VAL;BER;Valencia Basket;ALBA Berlin;02.11.2023;H;W;200;79;23;43;0,53;7;23;0,3;30;66;0,45;12;14;0,86;12;24;36;18;16;10;3;5;20;17;84;8;76;88;0,9;0,87;103,9;98,6;5,3;0,51;0,55;0,22;1,37;0,18;0,88;0,09;0,75;0,09;1,13;0,17;0,8;0,07;0,18;0,11;0,07;0,5;0,52;0,71;0,17;0,2;1,13;0,34;0,32;0,36;0;0,71;0,56;0,82;1;0,52;0,14;0,05;0,11;0;8;0;0;12;5;1;2;10;6;3;0;0;2;2;1;1;0;0;0;5;0;0;0;3;0;4;0;1;1;3;0;9;2;1;0;0;0;2;2;10;12;0;0;0;0;13;19;7;16;3;8;3;8;4;15;0;0
6;FCB;PAN;FC Barcelona;Panathinaikos AKTOR Athens;03.11.2023;H;W;200;80;27;48;0,56;4;18;0,22;31;66;0,47;14;20;0,7;13;29;42;10;14;9;2;1;18;19;88;8;76;89;0,9;0,91;105,3;100;5,3;0,5;0,53;0,06;2;0,4;1,06;0,08;0,86;0;-;0,19;0,71;0,1;0,16;0,04;0,11;0,25;0,15;0,75;0,33;0,11;0,71;0,37;0,26;0,46;0,67;0,81;0,71;0,93;1;0,59;0,13;0,03;0,05;0;8;1;1;4;3;3;4;4;10;2;0;0;0;4;1;0;0;0;0;4;2;2;0;0;1;9;2;3;0;0;0;10;3;1;0;0;0;1;1;12;16;0;1;3;0;5;5;19;36;3;7;0;0;4;17;0;1
6;PAN;FCB;Panathinaikos AKTOR Athens;FC Barcelona;03.11.2023;A;L;200;72;17;38;0,45;8;22;0,36;25;60;0,42;14;17;0,82;7;22;29;15;12;4;1;2;19;18;68;-8;72;79;0,91;0,9;100;105,3;-5,3;0,48;0,54;0,08;1,33;0,34;0,89;0,06;0,4;0;-;0,28;1,09;0,09;0,15;0,11;0,04;0,47;0,41;0,75;0,29;0,19;1,25;0,19;0,29;0,07;0;0,63;0,74;0,54;0,33;0,41;0,05;0,02;0,02;0;6;1;1;7;6;2;4;9;3;1;0;1;0;4;0;1;0;0;0;1;0;0;0;0;0;10;0;4;0;0;0;6;1;1;0;1;1;1;2;12;14;0;0;0;0;4;6;12;27;1;5;0;0;8;22;0;0
6;BAS;PAR;Baskonia Vitoria-Gasteiz;Partizan Mozzart Bet Belgrade;03.11.2023;H;W;200;84;19;38;0,5;8;28;0,29;27;66;0,41;22;28;0,79;16;22;38;18;10;7;2;7;20;24;91;1;70;86;0,98;1,14;120;116,9;3,1;0,47;0,55;0,1;1,78;0,27;0,78;0,07;0,67;0;-;0,31;0,89;0,12;0,12;0,07;0,05;0,5;0,42;0,63;0,56;0,21;1,8;0,41;0,42;0,37;1;0,92;1;0,85;1;0,6;0,1;0,04;0,03;0,04;4;1;1;8;5;5;10;6;4;1;1;0;0;5;1;1;1;0;0;6;1;1;0;0;0;9;0;1;0;0;0;11;0;1;0;0;0;4;4;14;16;1;4;6;0;8;9;9;23;2;6;0;0;8;27;0;1
6;PAR;BAS;Partizan Mozzart Bet Belgrade;Baskonia Vitoria-Gasteiz;03.11.2023;A;L;200;83;20;30;0,67;9;24;0,38;29;54;0,54;16;17;0,94;2;24;26;17;13;6;7;2;24;20;94;-1;71;73;1,14;0,98;116,9;120;-3,1;0,62;0,69;0,04;2;0,32;1,22;0,05;1,5;0;-;0,32;1,17;0,08;0,18;0,1;0,08;0,49;0,4;0,78;0,33;0,23;1,31;0,08;0;0,15;0;0,6;0,58;0,63;0;0,41;0,09;0,11;0,16;0,04;5;1;1;8;7;2;5;7;6;6;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;8;0;2;0;0;0;12;0;0;0;0;0;4;4;9;10;0;3;3;0;3;3;14;23;3;4;0;0;9;23;0;1
